Nombre de génération, Nombre d'étapes, x, y, z, seuil
0,51,7471,9453,8482,25335
1,34,9357,5388,10666,25376
2,25,8620,4816,8416,21721
3,24,6509,5943,1892,14241
4,103,1514,930,3630,6067
5,23,4489,4361,7884,16661
6,15,9098,7123,8359,24564
7,106,5138,3271,1595,9978
8,94,6381,5292,7645,19198
9,87,1337,-1577,5232,4946
10,34,12644,9404,5687,27734
11,57,10613,12758,6874,29973
12,38,-3092,3252,5067,5213
14,36,9282,13018,5422,27574
15,220,8558,11282,3986,23606
16,30,3700,10813,6264,20659
17,32,5311,8741,10702,24690
18,43,13822,7432,5487,26620
19,35,5329,4146,9499,18964
20,24,3864,3296,4779,11857
21,41,9243,11303,7073,27598
22,161,8817,10789,1397,20826
23,545,26420,18867,-19546,25582
24,382,-883,-3094,10560,6539
25,84,12267,8036,3698,23839
26,480,-15134,-5273,26940,6531
27,324,6691,-5046,3209,4851
28,42,7668,7186,12271,26875
29,356,2873,460,11224,14468
30,107,488,9127,4888,14482
31,28,4841,11145,6013,21787
32,90,5592,10225,5465,21089
33,2175,-17942,-41335,64532,5205
34,37,3923,11477,10080,25441
35,242,17144,5558,7498,29937
36,401,4894,7595,13195,25509
37,39,6888,-1355,2107,7630
39,25,10405,9214,9335,28763
40,17,10427,8321,1914,20599
41,103,10013,3024,486,13399
43,1015,-27710,17449,16381,6112
44,119,-1492,5027,6207,9711
45,34,11254,8054,6662,25849
46,42,10304,10391,8998,29508
47,29,3468,6056,11817,21334
48,6,3306,3163,7274,13629
49,488,18188,-18439,4483,4220
50,31,7760,5381,11724,24755
51,86,8469,-866,7383,14871
52,276,4617,2322,10334,17179
53,194,7199,13277,8278,28518
54,179,7990,2730,7273,17967
55,184,8706,1062,-4620,5106
56,91,2259,1796,8699,12742
58,40,7800,5708,10247,23751
59,884,8297,-19750,15030,3577
60,73,3681,1909,6688,12262
61,160,-2389,6061,3580,7244
63,200,6164,-2334,9804,13624
64,135,-653,7242,2118,8648
65,200,-2030,1866,14767,14469
66,136,5407,7163,715,13235
67,43,14873,4749,10144,29679
68,15,5590,10054,9485,24969
69,241,6052,13969,8195,28117
70,619,23402,1228,-6046,18479
71,380,-7592,7487,10541,10413
72,26,6004,8016,9162,23054
73,802,-12093,-12358,31568,7068
74,24,8305,7631,11047,26732
75,230,2310,4688,19775,26685
76,110,7493,-6018,8044,9430
77,1213,36492,-37719,8177,6887
78,231,-3517,-5091,14778,6114
79,636,13937,13649,-18386,9150
80,24,8035,8342,2353,18679
81,35,88,2515,3939,6488
82,13,8599,6070,1039,15692
83,24,7213,9722,2879,19667
84,396,-6406,13024,5886,12383
85,650,14522,-25453,19270,8320
86,362,2618,13375,8394,24246
87,30,9537,12146,6582,28057
88,4,821,6909,9335,17031
89,263,9353,3695,2138,15116
90,97,-615,-317,7460,6516
91,16,9224,7458,9522,26137
93,925,41478,-33599,21689,29473
94,225,11742,7135,-3206,15593
95,20,4994,9761,5369,20102
96,373,15027,10465,3408,28710
97,127,4620,-1939,10016,12676
98,165,5172,13831,-2984,15985
99,103,6315,6890,5215,18261
101,32,2991,3455,13846,20291
102,103,-328,2533,1305,3492
103,23,6733,9684,5295,21641
104,104,4980,7498,8655,21009
105,223,15847,3717,6185,25574
106,78,1889,3309,8385,13475
107,74,282,5603,3038,8911
108,172,12008,5049,2173,19185
109,38,14054,3586,5531,22989
110,32,2442,4040,-552,5877
111,130,8884,2143,738,11722
113,38,8300,4299,8434,20945
114,10,2153,4902,8344,15346
115,29,1841,2360,9374,13451
116,179,11746,3940,-89,15450
117,91,5860,4115,4725,14565
118,159,5453,6067,-2443,9054
119,9,9714,6071,3901,19596
120,378,6747,7800,-4571,9910
121,106,-1832,7147,3285,8590
122,25,7274,10488,2155,19782
123,142,5720,132,7337,13159
124,133,2239,6579,11301,20047
126,192,7280,11563,-1221,17596
127,80,6614,4211,3174,13952
128,239,-2764,2932,8764,8871
129,111,-217,3899,4431,8076
130,156,10167,3605,8812,22418
131,239,-1454,5909,-156,4272
132,1361,-37502,36851,4427,3739
133,106,1925,7543,-3041,6391
134,38,9426,8133,8517,25919
135,100,5368,2771,-2027,6083
136,200,15168,-389,10328,24979
137,36,13468,6882,7850,27926
138,112,4490,7345,-2269,9474
139,431,-451,7638,15028,22046
140,11,7220,10387,10141,27547
141,31,3418,10978,5058,19305
142,118,127,11097,-1872,9278
143,342,-4821,24763,8529,28278
144,87,-1562,11647,2547,12570
145,20,11397,1062,10490,22801
146,34,6424,13483,9734,29479
147,44,2388,-60,3152,5432
149,215,4395,-261,11611,15656
150,588,-3021,2171,11314,10364
151,222,-5938,940,8025,3005
152,265,9417,3167,17599,29956
153,31,4322,9716,9660,23628
154,507,4670,-4574,8257,8279
155,24,5015,8306,6504,19817
156,147,-1753,7726,5295,11210
157,209,4872,5609,18940,29340
158,35,4979,538,1895,7408
159,146,-2610,-1744,10301,5923
160,258,445,6782,-1337,5861
161,87,2528,6480,6066,15001
162,104,5299,6064,6134,17401
163,220,13297,8063,-3475,17874
164,171,9223,5657,8563,23420
165,110,2646,7876,6201,16608
166,134,5095,1185,6617,12855
167,152,4601,-2323,5124,7400
168,298,16109,-160,11507,27213
169,39,4069,4337,-908,7454
170,155,5509,10127,-3763,11820
171,143,10954,4389,6088,21376
172,147,1990,5805,4993,12778
173,29,8384,9367,10709,28451
174,40,9507,5937,11617,26909
175,24,8699,2790,8023,19421
176,0,4790,3393,1501,9640
177,29,5723,5985,8098,19673
178,59,8173,12341,8815,29265
179,223,14374,3742,-13747,4333
180,179,-4783,13162,6808,15165
181,932,36497,-13848,-17423,5220
182,85,7610,2786,3824,14098
184,96,13145,493,5266,18748
185,351,9754,-12994,17672,14378
186,371,18087,-7305,-7084,3684
187,120,4697,4547,5390,14570
188,444,13077,5191,-1629,16504
189,45,6123,3096,15136,24233
190,35,5692,4422,5304,15323
191,1217,18058,15049,-28030,5031
192,105,6680,-258,-1139,5265
193,111,6996,3867,7578,18290
194,254,9265,4425,9939,23569
195,34,12591,7276,6184,26038
196,220,-8952,12302,10641,13871
197,149,-1556,3361,8544,10271
198,35,-1591,3674,1970,4051
199,2,9611,4624,9661,23858
200,126,8800,2154,-10,10880
202,301,10936,-1675,12101,21246
203,361,14149,-11663,1739,4202
204,40,7182,11032,9638,27596
205,45,8588,9274,11995,29727
206,120,3955,577,4083,8552
207,42,11644,6141,7162,24741
208,167,3268,8512,4873,16630
209,38,9941,3818,12029,25680
210,10,7897,6645,6984,21355
211,12,3664,8082,7680,19276
212,48,2966,1885,3714,8500
213,25,9090,11340,1704,21953
214,26,9222,9250,7452,25852
215,222,13589,-8141,9748,15056
216,142,2533,9765,4938,17092
217,199,10017,7304,-4617,12678
218,219,11513,-6331,8112,13260
219,161,623,1273,5530,7360
220,143,-3444,11936,2745,11174
221,838,14644,-3365,-6514,4730
222,209,8138,9973,5051,23143
223,65,845,-1254,3505,3090
224,28,6602,8136,7143,21788
225,634,9212,19739,-5749,23075
226,612,-22128,23645,3093,4598
227,20,7129,10802,4204,22107
228,112,7276,4246,6809,18219
231,27,11681,7792,7063,26311
232,298,9769,-2486,14420,21612
234,77,3224,5404,6647,15203
235,155,6799,3081,1183,11033
236,120,-1002,6897,2964,8820
237,7,8310,8591,9068,25815
238,15,3253,9479,7491,20179
239,125,5058,6974,6935,18963
240,86,5761,2424,5661,13781
241,225,7302,11787,7344,26345
242,138,7374,5438,2859,15540
243,35,8044,5990,11324,25347
244,31,12830,1687,9966,24254
245,1077,5584,2678,-2597,5647
247,236,7198,-1167,2180,8145
248,7,4022,2577,7977,14560
249,141,-5337,1777,6832,3248
250,32,5242,8603,7043,20719
251,313,11048,-4502,1688,8199
252,295,15554,5414,-14027,6879
253,17,7237,5293,7248,19763
255,100,5488,8755,7564,21730
256,20,5469,1724,6136,13201
257,807,-23815,16759,10996,3924
258,227,-2167,3484,6272,7567
259,118,1087,6178,3898,11076
260,448,12480,-5408,14315,21350
261,845,7225,4788,-4107,7865
262,203,7372,2906,903,11082
263,261,6385,-2954,3175,6575
264,32,555,1279,3888,5695
265,126,4464,7486,1293,13114
266,4603,-70596,22441,51184,3006
267,37,4254,7800,8792,20676
268,27,9363,10683,1736,21708
269,112,-3419,9179,981,6739
270,7,7229,1635,7478,16223
271,6,3597,5177,3524,12293
272,76,3915,1707,2897,8517
273,132,1357,822,10788,12864
274,51,9339,10425,10256,29784
275,47,3808,8542,13216,25382
276,372,1146,-1153,9432,9401
277,24,4412,9286,8116,21809
278,54,7595,6730,7528,21721
279,43,5351,12935,9794,28034
280,20,9281,10523,4593,24291
281,92,2971,5912,1067,9907
282,143,8459,5954,2947,17190
283,616,443,5058,803,6263
284,59,5526,9574,12671,27735
285,73,5953,1409,6962,14203
286,31,3483,9374,4970,17724
287,30,9736,9651,10240,29513
288,307,5477,5428,11588,22356
289,430,11004,8640,2634,22137
290,114,3694,2006,4423,10033
291,8,5496,7215,4239,16898
292,97,4734,1565,6258,12437
293,14,8534,3376,3298,15167
294,88,3658,4523,8207,16275
295,592,21428,-2864,7873,26391
296,255,1657,4554,-2485,3717
297,31,2957,12170,6380,21398
298,887,5990,-2084,3135,6973
299,830,12308,871,-7703,5468
300,30,10237,5454,7342,23005
301,2,7998,2116,8297,18292
302,14,6843,6139,7677,20510
303,116,4695,6770,1239,12615
304,30,3244,12469,12075,27521
305,146,-4535,10372,2831,8615
306,53,5816,10497,10729,26922
307,210,61,13211,4315,17448
308,67,198,8573,5097,13759
309,126,2169,5530,5093,12720
310,25,5286,8132,11359,24558
311,125,8594,2413,3776,14738
312,312,7487,6890,5762,19966
313,28,2761,5589,6944,15206
314,98,2680,6860,5241,14658
315,141,9312,5542,-3334,11431
316,98,-254,-2102,11222,8812
317,48,8320,11851,7430,27522
318,172,5269,-147,3450,8569
